First Name,Last Name,Draft Year,Years of Service
Tom,Kron,0,3
Jaylen,Hoard,2019,1
Ben,Coleman,0,5
Joe,Cooke,0,1
Ryan,Anderson,2008,11
Joe,Crawford,2008,1
Michael,McDonald,1995,0
Giff,Roux,0,3
Keith,Appling,2014,0
James,White,2006,3
Tyler,Cook,2019,1
John,Battle,1985,10
John,Lucas,0,14
Terry,Thomas,0,1
Bob,Hopkins,0,4
Clint,Wager,0,1
Reggie,Evans,2002,13
Robert,Lock,0,1
Kenny,Green,0,2
Patrick,O'Bryant,2006,4
Kenny,Payne,0,4
Horace,McKinney,0,6
John,Thomas,1997,5
Jim,Marsh,0,1
Alton,Lister,1981,16
Quinton,Ross,2003,7
Jim,Creighton,0,1
David,Harrison,2004,4
Kennard,Winchester,0,3
Frank,Johnson,0,10
Brian,Howard,0,2
Roko,Ukic,2005,2
Carl,McNulty,0,1
Ron,Feiereisel,0,1
Mike,Bloom,0,2
William,Howard,2015,1
Kris,Dunn,2016,4
Jason,Kidd,1994,19
Ed,Horton,0,1
Mfiondu,Kabengele,2019,1
Ben,Schadler,0,1
Bracey,Wright,2005,2
Zaid,Abdul-Aziz,0,10
Steve,Nash,1996,18
Major,Jones,0,6
Bruce,Hale,0,3
Keith,Langford,2005,1
Devin,Green,2005,1
Will,Conroy,2005,3
Leo,Mogus,0,4
Roland,Taylor,0,1
Randy,Brown,1991,12
Reggie,Smith,0,2
Reggie,Miller,1987,18
Charles,Oakley,1985,19
Darius,Garland,2019,1
Jeff,Halliburton,0,2
Francis,Mahoney,0,2
David,West,2003,14
Jarrell,Brantley,2019,1
Robert,Rose,0,1
Richard,Jefferson,2001,16
Jeff,Foster,1999,13
Jorge,Gutierrez,2012,2
Chuck,Gilmur,0,5
Sherell,Ford,1995,1
Alan,Ogg,0,3
Phil,Chenier,0,10
Bud,Koper,0,1
James,Robinson,1993,7
Terence,Stansbury,0,3
Michelle,Snow,2002,0
Ernie,Vandeweghe,0,6
Norris,Cole,2011,5
Khem,Birch,0,3
Kerry,Kittles,1996,8
Hanno,Mottola,2000,2
George,McCloud,1989,12
Bob,Riley,0,1
Lorenzo,Charles,0,1
Sam,Worthen,0,2
Walter,Dukes,0,8
Mark,Eaton,0,11
Henry,Pearcy,0,1
Ed,Stanczak,0,2
Bruce,Flowers,0,1
Kevin,Durant,2007,11
Dick,Shrider,0,1
Bob,Hahn,0,1
Ky,Bowman,2019,1
